"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"SPICEPREFIX";
"!CLOCKPIN";"";"ML16";"ML16";"HARTING";"";"";"unknown";"unknown";"";
"AUTO";"NA555";"NA555";"SO8";"";"";"";"";"";"";
"C1";".01uF";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";"";"";"";"C";
"C2";"1uF";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";"";"";"";"C";
"C5";".01uF";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";"";"";"";"C";
"C6";".01uF";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";"";"";"";"C";
"C7";".1uF";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";"";"";"";"C";
"CLOCKPIN";"";"ML16";"ML16";"HARTING";"";"";"unknown";"unknown";"";
"CN1";"";"DCBARRELPTH";"DCJACK_2MM_PTH";"2.0mm DC Barrel Jack";"";"";"";"";"";
"IC3";"74ALS04D";"74ALS04D";"SO14";"Hex INVERTER";"";"";"";"";"";
"IC4";"74ALS08D";"74ALS08D";"SO14";"Quad 2-input AND gate";"";"";"";"";"";
"IC5";"74LS32D";"74LS32D";"SO14";"Quad 2-input OR gate";"";"";"";"";"";
"JP1";"";"JP2E";"JP2";"JUMPER";"";"";"";"";"";
"JP2";"";"JP2E";"JP2";"JUMPER";"";"";"";"";"";
"LED1";"";"LED5MM";"LED5MM";"LED";"";"";"";"";"";
"PULSE";"NA555";"NA555";"SO8";"";"";"";"";"";"";
"R1";"1k";"R-US_M1206";"M1206";"RESISTOR, American symbol";"";"";"";"";"R";
"R2";"1k";"R-US_M1206";"M1206";"RESISTOR, American symbol";"";"";"";"";"R";
"R3";"1M";"R-US_M1206";"M1206";"RESISTOR, American symbol";"";"";"";"";"R";
"R4";"1k";"R-US_M1206";"M1206";"RESISTOR, American symbol";"";"";"";"";"R";
"R5";"1k";"R-US_M1206";"M1206";"RESISTOR, American symbol";"";"";"";"";"R";
"R6";"";"R-US_M1206";"M1206";"RESISTOR, American symbol";"";"";"";"";"R";
"R7";"1k";"R-US_M1206";"M1206";"RESISTOR, American symbol";"";"";"";"";"R";
"S1";"";"40-XX";"B3F-40XX";"OMRON SWITCH";"OMRON COMPONENTS USA";"B3F-4000";"176434";"36K3105";"";
"SWITCH";"NA555";"NA555";"SO8";"";"";"";"";"";"";
"U$1";"3310H-001-105L";"3310H-001-105L";"3310H-001-105L";"";"";"";"";"";"";
"U$2";"AZ1117E";"AZ1117E";"AZ1117E";"";"";"";"";"";"";
"U$3";"AZ1117E";"AZ1117E";"AZ1117E";"";"";"";"";"";"";
"U$4";"AZ1117E";"AZ1117E";"AZ1117E";"";"";"";"";"";"";
"U$5";"AZ1117E";"AZ1117E";"AZ1117E";"";"";"";"";"";"";
"U$6";"AZ1117E";"AZ1117E";"AZ1117E";"";"";"";"";"";"";
"U$7";"AZ1117E";"AZ1117E";"AZ1117E";"";"";"";"";"";"";
"U$8";"AZ1117E";"AZ1117E";"AZ1117E";"";"";"";"";"";"";
"U$9";"AZ1117E";"AZ1117E";"AZ1117E";"";"";"";"";"";"";
"U$10";"AZ1117E";"AZ1117E";"AZ1117E";"";"";"";"";"";"";
"U$11";"AZ1117E";"AZ1117E";"AZ1117E";"";"";"";"";"";"";
"U$12";"AZ1117E";"AZ1117E";"AZ1117E";"";"";"";"";"";"";
"U$13";"AZ1117E";"AZ1117E";"AZ1117E";"";"";"";"";"";"";
"VCC_GND1";"";"ML16";"ML16";"HARTING";"";"";"unknown";"unknown";"";
"VCC_GND2";"";"ML16";"ML16";"HARTING";"";"";"unknown";"unknown";"";
